state,abbr,n,dur,deob,ratio,top_family
Guam,GU,47,8.42,80.1,0.931,Structural retrofit
Louisiana,LA,589,8.4,85.9,0.979,Structure elevation
Texas,TX,720,6.84,81.3,0.94,Property acquisition
Illinois,IL,99,6.32,76.8,0.85,Property acquisition
Northern Mariana Islands,MP,60,6.0,69.7,0.917,Structural retrofit
New Mexico,NM,39,5.79,69.0,1.0,Other or unspecified
New York,NY,401,5.76,83.6,0.97,Property acquisition
Indiana,IN,108,5.49,85.3,0.793,Property acquisition
Vermont,VT,254,5.47,73.8,0.895,Property acquisition
Hawaii,HI,32,5.22,68.6,0.974,Structural retrofit
Michigan,MI,199,5.17,75.5,0.948,Warning systems
Virgin Islands of the U.S.,VI,31,5.1,51.4,1.0,Structural retrofit
Alabama,AL,1433,5.07,69.3,0.929,Safe room and shelter
New Jersey,NJ,708,5.0,50.2,1.0,Generators
Oregon,OR,145,4.57,61.2,1.0,Property acquisition
California,CA,467,4.51,53.7,1.0,Structural retrofit
Washington,WA,204,4.5,75.6,0.97,Structural retrofit
Connecticut,CT,203,4.44,61.5,0.993,Structure elevation
North Carolina,NC,343,4.39,85.4,0.802,Property acquisition
Rhode Island,RI,43,4.21,60.3,1.0,Property acquisition
Arkansas,AR,235,4.14,57.5,0.998,Safe room and shelter
Tennessee,TN,161,3.99,64.8,0.997,Property acquisition
Massachusetts,MA,177,3.97,55.1,1.0,Stormwater and culverts
Oklahoma,OK,577,3.96,53.8,1.0,Safe room and shelter
Florida,FL,1528,3.93,71.9,1.0,Structural retrofit
Wisconsin,WI,208,3.92,76.0,0.964,Property acquisition
Colorado,CO,140,3.86,58.6,1.0,Wildfire mitigation
Pennsylvania,PA,247,3.8,83.1,0.85,Property acquisition
Utah,UT,72,3.76,44.1,1.0,Structural retrofit
Puerto Rico,PR,105,3.74,78.0,0.876,Structural retrofit
Montana,MT,95,3.73,53.4,1.0,Other or unspecified
New Hampshire,NH,144,3.67,43.6,1.0,Stormwater and culverts
Idaho,ID,42,3.65,48.3,1.0,Drainage and flood control
Nevada,NV,36,3.64,58.6,0.992,Other or unspecified
Ohio,OH,239,3.64,83.4,0.816,Property acquisition
Minnesota,MN,208,3.59,72.4,0.981,Property acquisition
Arizona,AZ,45,3.57,45.7,1.0,Stormwater and culverts
South Carolina,SC,253,3.56,75.2,0.953,Generators
Virginia,VA,195,3.21,55.6,1.0,Property acquisition
Kentucky,KY,481,3.19,71.2,0.999,Generators
Alaska,AK,106,3.12,72.2,0.982,Structural retrofit
West Virginia,WV,190,3.12,85.3,0.842,Property acquisition
Georgia,GA,273,3.09,63.9,0.989,Warning systems
Maryland,MD,139,3.01,42.4,1.0,Generators
Maine,ME,89,2.94,55.6,1.0,Stormwater and culverts
Kansas,KS,259,2.93,64.6,1.0,Safe room and shelter
Delaware,DE,51,2.91,63.8,0.934,Structure elevation
Missouri,MO,447,2.89,60.2,1.0,Safe room and shelter
North Dakota,ND,272,2.89,64.9,1.0,Property acquisition
Mississippi,MS,637,2.84,77.5,0.991,Generators
Iowa,IA,479,2.78,74.2,0.984,Property acquisition
Nebraska,NE,238,2.57,59.7,1.0,Warning systems
South Dakota,SD,346,2.25,47.8,1.0,Utility protection
